gid,name,plz,stadt,strasse,hausnr,hnr_zusatz,familienze,staedtisch,gc_xwert,gc_ywert,gid_2,wahlbez_nr,wahlbezirk,landtagswa,flaeche
41,Ev. Familienzentrum Apostel,33607.000000000000000,Bielefeld,Rotkehlchenweg,2.000000000000000,a,x,,471215.188030000019353,5763705.723360000178218,18,"5",Stauteiche,"92",2617265.410271829925478
146,städt. KiTa Oberer Esch,33607.000000000000000,Bielefeld,Auf dem Oberen Esch,4.000000000000000,,x,x,470219.292030000011437,5763934.850359998643398,18,"5",Stauteiche,"92",2617265.410271829925478
207,KiTa Pirateninsel e.V. Brückenstraße,33607.000000000000000,Bielefeld,Brückenstraße,72.000000000000000,b,,,,,18,"5",Stauteiche,"92",2617265.410271829925478
209,Kita Falkenbande,33607.000000000000000,Bielefeld,Lerchenstraße,20.000000000000000,,,,,,18,"5",Stauteiche,"92",2617265.410271829925478
97,Kath. KiTa und Familienzentrum St. Meinolf,33607.000000000000000,Bielefeld,Am Großen Holz,46.000000000000000,a,x,,470547.969029999978375,5764355.823359999805689,18,"5",Stauteiche,"92",2617265.410271829925478
47,Ev. KiTa Paulus,33607.000000000000000,Bielefeld,Weißenburger Straße,12.000000000000000,,,,469288.752029999974184,5763356.167360000312328,19,"4",Seidensticker Halle,"92",2685655.577500999905169
106,KiTa Hoppetosse e.V.,33602.000000000000000,Bielefeld,Am Hallenbad,16.000000000000000,,,,468587.376029999984894,5763801.088360000401735,19,"4",Seidensticker Halle,"92",2685655.577500999905169
153,städt. KiTa Stadtmitte,33607.000000000000000,Bielefeld,Teutoburger Straße,106.000000000000000,,,x,468651.348029999993742,5763429.936359999701381,19,"4",Seidensticker Halle,"92",2685655.577500999905169
179,Familienzentrum NRW KiTa Flachsfarm,33607.000000000000000,Bielefeld,Flachsstraße,7.000000000000000,,x,,469477.808030000014696,5763722.491359999403358,19,"4",Seidensticker Halle,"92",2685655.577500999905169
6,AWO KiTa Die Rasselbande,33602.000000000000000,Bielefeld,Dr. Viktoria-Steinbiß-Straße,13.000000000000000,,x,,468763.105029999976978,5764011.848360000178218,19,"4",Seidensticker Halle,"92",2685655.577500999905169
9,AWO KiTa Jahnstraße,33659.000000000000000,Bielefeld,Jahnstraße,4.000000000000000,,,,467489.544029999990016,5757005.664370000362396,20,"33",Windflöte,"93",16092683.867625299841166
144,städt. KiTa Nordfeldweg,33659.000000000000000,Bielefeld,Nordfeldweg,83.000000000000000,,,x,466318.734029999992345,5757939.790359999984503,20,"33",Windflöte,"93",16092683.867625299841166
