X,Y,gid,name,plz,stadt,strasse,hausnr,hnr_zusatz,familienze,staedtisch,gc_xwert,gc_ywert,gid_2,statistische_raumeinheit_name,statist_raumeinheit_id,maennlich,weiblich,null_bis_unter_18,proz_0_bis_unter_18,gleich_18_bis_unter_65,proz_18_bis_unter_65,gleich_65_u_aelter,proz_65_u_aelter,durchschnittsalter,einw_ges,deutsch_ohne_migrationshintergrund,deutsch_mit_migrationshintergrund,auslaendisch,proz_hhmitkindern_an_allenhh,abs_bev_entwicklung_5jahre,proz_bev_entwicklung_5jahre
467301.09103,5762649.85936,48,Ev. Kindertagesstätte Lichtblick,33602.000000000000000,Bielefeld,Gadderbaumer Straße,33.000000000000000,b,,,467301.091030000010505,5762649.859360000118613,65,Stat. Raumeinheit 205,205,1117,1066,282,"12,9",1538,"70,5",363,"16,6","42,9",2183,1191,394,598,"12,8",-70,"-3,1"
467027.05103,5761496.02836,51,Ev. Kindertagesstätte Windspiel,33617.000000000000000,Bielefeld,Landgrafweg,15.000000000000000,,,,467027.051029999973252,5761496.028359999880195,65,Stat. Raumeinheit 205,205,1117,1066,282,"12,9",1538,"70,5",363,"16,6","42,9",2183,1191,394,598,"12,8",-70,"-3,1"
466803.23503,5761244.87736,102,"Kindertagesstätte ""Die Fuzzis"" e.V.",33617.000000000000000,Bielefeld,Pellaweg,13.000000000000000,,,,466803.235029999981634,5761244.877360000275075,66,Stat. Raumeinheit 206,206,1281,1431,453,"16,7",1669,"61,5",590,"21,8","45,3",2712,2072,452,188,"20",-85,"-3"
466646.00503,5761588.91636,40,Ev. KiTa Martini,33617.000000000000000,Bielefeld,Hortweg,12.000000000000000,,,,466646.005030000000261,5761588.916360000148416,66,Stat. Raumeinheit 206,206,1281,1431,453,"16,7",1669,"61,5",590,"21,8","45,3",2712,2072,452,188,"20",-85,"-3"
467239.091012571,5759705.87034693,83,Kinderhaus Wunderland,33647.000000000000000,Bielefeld,Leharstraße,24.000000000000000,,,,465903.579030000022613,5760854.236360000446439,67,Stat. Raumeinheit 301,301,748,799,206,"13,3",811,"52,4",530,"34,3","51,4",1547,1013,321,213,"16,2",48,"3,2"
466674.05203,5759585.27836,192,KiTa Leipziger Straße,33647.000000000000000,Bielefeld,Leipziger Straße,13.000000000000000,,,,466674.052030000020750,5759585.278359999880195,68,Stat. Raumeinheit 302,302,609,681,214,"16,6",829,"64,3",247,"19,1","43,1",1290,484,426,380,"19,4",25,"2"
466434.73703,5758584.69136,138,städt. KiTa Kammerich,33647.000000000000000,Bielefeld,Waldecker Straße,10.000000000000000,,,x,466434.737030000018422,5758584.691359999589622,69,Stat. Raumeinheit 303,303,1074,1013,437,"20,9",1365,"65,4",285,"13,7","38,5",2087,565,775,747,"25",-38,"-1,8"
466546.57803,5759367.54836,143,städt. KiTa Markt,33647.000000000000000,Bielefeld,Erfurter Straße,10.000000000000000,,x,x,466546.578029999975115,5759367.548360000364482,70,Stat. Raumeinheit 304,304,1385,1585,405,"13,6",1734,"58,4",831,"28","47,9",2970,1330,869,771,"15,9",-95,"-3,1"
466206.68303,5758789.09736,156,städt. KiTa Südring,33647.000000000000000,Bielefeld,Wilhelm-Thielke-Straße,35.000000000000000,,,x,466206.683030000014696,5758789.097359999082983,70,Stat. Raumeinheit 304,304,1385,1585,405,"13,6",1734,"58,4",831,"28","47,9",2970,1330,869,771,"15,9",-95,"-3,1"
465882.30203,5760139.26136,132,städt. KiTa Hagenbrock,33647.000000000000000,Bielefeld,Westfalenstraße,37.000000000000000,,,x,465882.302030000020750,5760139.261359999887645,72,Stat. Raumeinheit 306,306,597,682,193,"15,1",781,"61,1",305,"23,8","45,2",1279,653,320,306,"16",-7,"-0,5"
466033.46103,5759401.10036,90,Kath. KiTa Herz Jesu,33647.000000000000000,Bielefeld,Papenkamp,19.000000000000000,,,,466033.461030000005849,5759401.100359999574721,73,Stat. Raumeinheit 307,307,845,860,301,"17,7",1094,"64,2",310,"18,2","42,5",1705,737,502,466,"18,2",23,"1,4"
466263.18203,5759984.74236,194,KiTa Normannenstraße,33647.000000000000000,Bielefeld,Normannenstraße,20.000000000000000,,,,466263.182030000025406,5759984.742359999567270,74,Stat. Raumeinheit 308,308,555,575,171,"15,1",754,"66,7",205,"18,1","43,3",1130,513,303,314,"17,4",46,"4,2"
466370.49503,5759900.02236,175,Ev. KiTa Louise-Scheppler,33647.000000000000000,Bielefeld,Wikingerstraße,15.000000000000000,b,x,,466370.495029999932740,5759900.022359999828041,74,Stat. Raumeinheit 308,308,555,575,171,"15,1",754,"66,7",205,"18,1","43,3",1130,513,303,314,"17,4",46,"4,2"
466069.82603,5760759.86136,164,Ev. KiTa Arche Noah,33647.000000000000000,Bielefeld,Schulstraße,71.000000000000000,,x,,466069.826029999996535,5760759.861360000446439,76,Stat. Raumeinheit 310,310,685,738,287,"20,2",918,"64,5",218,"15,3","39,8",1423,386,485,552,"22,5",-81,"-5,4"
465762.91603,5760003.96436,191,Kita am Möllerstift,33647.000000000000000,Bielefeld,Am Möllerstift,22.000000000000000,,x,,465762.916030000022147,5760003.964359999634326,77,Stat. Raumeinheit 311,311,863,836,270,"15,9",1106,"65,1",323,"19","42,5",1699,717,472,510,"17,4",38,"2,3"
465224.873599975,5760292.20440001,198,KiTa Möllernest,33649.000000000000000,Bielefeld,Gütersloher Strasse,50.000000000000000,,,,465225.020000000018626,5760292.360000000335276,78,Stat. Raumeinheit 312,312,574,615,203,"17,1",709,"59,6",277,"23,3","44,7",1189,623,291,275,"20,8",-55,"-4,4"
464402.13803,5759465.57936,26,Die Glühwürmchen e. V.,33649.000000000000000,Bielefeld,Grabenkamp,35.000000000000000,,,,464402.138029999972787,5759465.579359998926520,79,Stat. Raumeinheit 313,313,961,967,348,"18",1220,"63,3",360,"18,7","42,2",1928,895,613,420,"22,8",66,"3,5"
464797.80003,5759520.81336,126,städt. KiTa Brock,33649.000000000000000,Bielefeld,Mülheimer Straße,20.000000000000000,,,x,464797.800029999983963,5759520.813360000029206,80,Stat. Raumeinheit 314,314,966,934,338,"17,8",1202,"63,3",360,"18,9","42,1",1900,870,429,601,"19",192,"11,2"
464621.45603,5759493.26836,141,städt. KiTa Kupferhammer,33649.000000000000000,Bielefeld,Von-Möller-Straße,54.000000000000000,b,,x,464621.456030000001192,5759493.268360000103712,80,Stat. Raumeinheit 314,314,966,934,338,"17,8",1202,"63,3",360,"18,9","42,1",1900,870,429,601,"19",192,"11,2"
464938.94703,5757506.89636,157,städt. KiTa Südwestfeld,33647.000000000000000,Bielefeld,Im Horst,15.000000000000000,,,x,464938.947029999981169,5757506.896359999664128,81,Stat. Raumeinheit 315,315,521,563,240,"22,1",628,"57,9",216,"19,9","42,3",1084,565,335,184,"27,6",-26,"-2,3"
459422.17404,5756829.01437,134,städt. KiTa Holtkamp,33649.000000000000000,Bielefeld,Brockhagener Straße,296.000000000000000,,,x,459422.174040000012610,5756829.014369999989867,82,Stat. Raumeinheit 316,316,768,797,236,"15,1",937,"59,9",392,"25","46,8",1565,1252,188,125,"20,7",18,"1,2"
461614.23903,5757697.93736,112,Der Ravensberger Regenbogen e.V.,33649.000000000000000,Bielefeld,Erpestraße,11.000000000000000,,,,461614.239029999997001,5757697.937360000796616,82,Stat. Raumeinheit 316,316,768,797,236,"15,1",937,"59,9",392,"25","46,8",1565,1252,188,125,"20,7",18,"1,2"
